x,y1,y2,y3,y4
-20.0,-5.735759,410.1291,399.0377,-400.2098
-19.9,-5.7159543,405.92938,394.68472,-396.22552
-19.8,-5.097963,401.77606,391.63287,-391.9534
-19.7,-5.542299,398.52716,387.3617,-388.27158
-19.6,-5.172622,394.24887,383.5856,-384.53952
-19.5,-5.577582,390.0922,379.5104,-379.98114
-19.4,-4.7777534,385.98798,375.92422,-376.05804
-19.3,-5.4886603,382.371,371.76126,-372.84528
-19.2,-5.0941963,378.86615,368.16595,-368.85806
-19.1,-4.755321,375.22662,364.50107,-364.49316
-19.0,-5.700114,371.32632,360.80453,-361.01422
-18.9,-5.241812,367.28427,357.43863,-356.78983
-18.8,-4.845896,363.0006,353.34036,-353.50238
-18.7,-5.0947156,360.1601,349.7025,-349.92154
-18.6,-5.2130337,356.39795,346.48935,-345.8666
-18.5,-5.5497127,352.41138,342.57315,-341.94955
-18.4,-5.488584,348.09512,339.19394,-338.78677
-18.3,-5.209816,344.5939,335.27634,-334.8007
-18.2,-5.210931,340.96844,331.5229,-331.7269
-18.1,-5.5421968,337.38925,328.43863,-327.12354
-18.0,-5.291796,333.61658,325.18085,-324.2123
-17.9,-4.986993,330.15704,321.71362,-320.05002
-17.8,-5.1865,326.3552,317.33582,-317.18002
-17.7,-5.63698,322.98514,314.58316,-312.84393
-17.6,-4.960811,319.59717,310.82315,-309.53818
-17.5,-5.198344,315.91324,306.77872,-306.11093
-17.4,-5.317733,312.4537,304.06873,-302.34692
-17.3,-4.9823422,309.70563,300.66132,-298.91132
-17.2,-5.4577847,305.5557,297.2646,-295.6633
-17.1,-5.0564423,302.16904,293.8674,-292.44904
-17.0,-4.781354,298.77158,289.56027,-289.257
-16.9,-4.8766704,295.992,286.96274,-286.0974
-16.8,-5.0722294,292.66058,282.65723,-281.90363
-16.7,-5.4595084,288.87015,280.02698,-278.47626
-16.6,-5.354711,285.77466,276.79526,-275.2798
-16.5,-4.8083286,281.78812,273.0464,-272.2662
-16.4,-4.831539,278.87106,269.5436,-268.71915
-16.3,-4.6953087,276.1251,266.1212,-265.63315
-16.2,-5.2256804,272.67987,263.07346,-262.84335
-16.1,-5.2981744,268.8807,259.7814,-259.54944
-16.0,-5.3019915,266.0195,256.47943,-255.86052
-15.9,-5.284056,262.60254,253.47552,-252.66026
-15.8,-5.305438,260.0463,249.55237,-249.96846
-15.7,-4.86049,256.6754,246.75249,-246.91072
-15.6,-4.809516,252.93301,242.86632,-243.34843
-15.5,-5.3163743,250.56548,239.74384,-240.3371
-15.4,-4.6160793,247.09232,236.91632,-236.79427
-15.3,-5.3783016,244.05464,234.15804,-233.6823
-15.2,-4.7597356,240.98186,230.63806,-231.03517
-15.1,-5.264132,237.72859,226.96614,-228.2438
-15.0,-4.7499332,234.63321,224.0174,-225.32608
-14.9,-5.120866,232.45345,221.67535,-222.30981
-14.8,-5.1802545,229.51398,217.88683,-219.3325
-14.7,-5.3220863,226.5757,215.4858,-215.61928
-14.6,-4.8021994,222.81352,212.37738,-213.59566
-14.5,-4.9963593,220.51602,209.35056,-210.14134
-14.4,-4.8289294,217.65695,206.23584,-207.4648
-14.3,-5.0598702,214.55534,203.38329,-204.62404
-14.2,-4.529542,211.1428,201.1008,-201.76616
-14.1,-4.7953763,208.44113,198.05063,-199.12985
-14.0,-5.1562395,206.02704,195.29373,-196.2885
-13.9,-4.4490485,203.23918,192.27507,-193.65384
-13.8,-5.2898703,200.91196,189.0278,-190.2469
-13.7,-5.028612,197.46391,186.73344,-187.79272
-13.6,-4.593397,194.5303,184.40767,-185.32758
-13.5,-4.9496193,192.11403,181.92833,-182.14261
-13.4,-4.668458,189.9874,179.26147,-180.0266
-13.3,-5.2879825,186.41985,176.53548,-176.97206
-13.2,-4.6060863,184.10197,173.28812,-174.62587
-13.1,-4.977541,181.95834,171.15565,-171.29622
-13.0,-4.5026016,179.1842,168.80507,-168.70978
-12.9,-4.440237,176.10388,165.99408,-166.82005
-12.8,-5.23665,174.09763,163.63968,-163.96176
-12.7,-4.3822274,171.12772,161.01508,-161.22876
-12.6,-4.706021,168.64067,158.82669,-158.58871
-12.5,-4.957266,166.10756,155.98369,-156.2022
-12.4,-4.942061,163.86469,153.91246,-153.98892
-12.3,-5.1136055,160.96631,151.42398,-151.43091
-12.2,-5.0085883,159.23924,148.79292,-148.84938
-12.1,-5.0119724,156.49268,147.04189,-145.98674
-12.0,-5.157465,154.27768,144.42992,-143.78522
-11.9,-5.2389235,151.75781,141.93086,-141.8822
-11.8,-4.976019,149.09343,139.98193,-139.45586
-11.7,-4.5195875,146.47247,137.67863,-136.65324
-11.6,-4.412603,144.92282,134.92044,-134.52422
-11.5,-4.987168,141.97987,133.37013,-131.90579
-11.4,-4.6734395,139.67017,130.94536,-129.5634
-11.3,-5.205008,137.49208,128.89104,-127.88607
-11.2,-4.3243327,135.81396,126.736084,-125.23043
-11.1,-4.838634,132.77605,124.536026,-123.485756
-11.0,-4.581669,130.5613,121.80104,-120.67678
-10.9,-4.7119665,128.7996,119.34153,-118.55493
-10.8,-4.7293324,126.619125,117.587135,-116.77099
-10.7,-4.627385,124.33862,114.98428,-114.21117
-10.6,-4.4982743,122.04951,113.492096,-112.34531
-10.5,-4.6715307,120.47677,111.149345,-110.11673
-10.4,-4.5091414,118.547455,109.42975,-108.122055
-10.3,-4.2594385,115.76249,106.78092,-105.94792
-10.2,-4.5659037,114.160355,104.827,-104.361786
-10.1,-4.2714653,111.87621,102.34179,-101.831825
-10.0,-4.445061,109.6425,100.85829,-100.48473
-9.9,-4.649202,107.77418,98.50739,-97.76085
-9.8,-4.59719,105.82622,96.16747,-96.3521
